MÃ	SALE	TÌNH TRẠNG	LINK ẢNH	LINK MAP	ĐỊA CHỈ	DIỆN TÍCH	GIÁ BÁN	PHÍ	GHI CHÚ	Sản phẩm phù hợp
MH865	Quân		https://drive.google.com/drive/folders/1GCIJ1eGVTkBN-FUK_FqbvhL_jSMGO6xS?usp=drive_link	https://maps.app.goo.gl/JgBy6ikJsZ664tSKA?g_st=iz	Đoàn Xá 2, Kiến Hải	236	19tr/m2	50.000		
MH866	Tài		https://drive.google.com/drive/folders/10vS2nCR4iD3Yk9uauUk-gRQvJrcPWft5?usp=drive_link	https://maps.app.goo.gl/vTNHpR7dHSBucBCo8?g_st=ipc	Hai lô Đoàn Xá, Kiến Hải	156,2 và 158,6	18tr/m2	20.000	Gần chợ, đông dân cư, gần khu tái định cư	
MH867	Quân		https://drive.google.com/drive/folders/14ouGZVcf9H2bqhdsF6zxqn10MkYLi3Ie?usp=drive_link	https://maps.app.goo.gl/rFWvd21eYbTc5KZg6?g_st=iz	Đoàn Xá, Kiến Hải	110	2.457.000	50.000		
MH868	Chinh		https://drive.google.com/drive/folders/1TE63BOypMzoYms_nfSL8Sf0qRlg6HqXQ?usp=drive_link	https://maps.app.goo.gl/yASJgHQs2p6Nsv4p9?g_st=com.google.maps.preview.copy	Kính Trực, Tân Phong	122	1.270.000	40.000		Đầu tư đón song Tân Phong, tài chính thấo, thích ngõ to rộng
MH869	Cảnh		https://drive.google.com/drive/folders/13UFlbf3qzFzSSIwZDzWwpBpwqoh3zd4H?usp=drive_link	https://maps.app.goo.gl/NbchsNWdmit16DWk9?g_st=iz	Thái Lai, Kiến Hải	81,5+82	1.050.000	20.000	Tuyến 2 TL361	Đầu tư sóng, xây nhà ở
MH870	Quyên		https://drive.google.com/drive/folders/1Zp5ACancmLKKNGQfOYuVKqkiA4z8McNm?usp=drive_link	https://maps.app.goo.gl/uBDZAzYk7MvDWW9c7?g_st=iz	Lão Phú, Tân Phong	88,9	1.230.000	30.000	Hướng Đông Nam mát mẻ, cách 300m full tiện ích	Đầu tư sóng, xây nhà ở
MH871	Tài		https://drive.google.com/drive/folders/1BIFtXgKpE926w-mOQbCMtQrMK9yBGLcv?usp=drive_link	https://maps.app.goo.gl/Psk2Wm2gK3eZwbRY6?g_st=iz	Đoàn Xá	96	2.700.000	50.000	Gần chợ đông dân, tiện ích đủ, gần  kho	
MH872	Sinh		https://drive.google.com/drive/folders/1LISF3HRaYJzmvW6h4udTL1bzBw_GhbZP?usp=drive_link	https://maps.app.goo.gl/r64L3joY9zsPU3MC8?g_st=ipc	Lão Phong, Tân Phong	60m2 thổ cư + 352m đất NN	2.000.000	50.000	Cách 200m gần uỷ ban, công an xã, trường chợ	Xây nhà làm vườn
MH873	Kỷ		https://drive.google.com/drive/folders/1VW-uo-poPcFEnMuUYhDe1bvaQWoYw0Q6?usp=drive_link	https://maps.app.goo.gl/obucQg3Pw5xMWf8F8?g_st=ipc	Thấp Linh, Minh Tân	77,9 và 71,9	lô 77,9 giá 1970, lô 71,9 giá 1800	30tr/lô	Khu vực quy hoạch mở rộng đường	Đầu tư đón sóng, để ở hoặc kinh doanh
MH874	Quyên		https://drive.google.com/drive/folders/13jjbIXC35w5ZXdHCa_W1k9DYrja3_-T2?usp=drive_link	https://maps.app.goo.gl/5WqVQEaAU1q5t9648?g_st=iz	Xuân La, Thanh Sơn	123	1.100.000	50.000	Cách 200m full tiện tích	Đầu tư lâu dài, xây nhà ở
MH875	Cảnh		https://drive.google.com/drive/folders/1l0rEDV7LDjsoF0uoGnTUtyMejeoYKqB-?usp=drive_link	https://maps.app.goo.gl/5SftffcshGiofFCi6?g_st=ipc	Thái Lai, Kiến Hải	110	1.250.000	30.000	Tuyến 2 trục đường nhưa thông, dân cư đông đuc	Đầu tư đón sóng, xây nhà ở
MH876	Linh		https://drive.google.com/drive/folders/1S4fr68BMsv8kwVyxtKlDahgHQr6NusR1?usp=drive_link	https://maps.app.goo.gl/LdVDzmqMbpoSNCx37?g_st=ipc	Xuân La, Thanh Sơn	75	1.380.000	20.000	cách 500m2 full tiện ích	Đầu tư trung hạn, an cư
MH877	Sinh		https://drive.google.com/drive/folders/1yovFZ5PPy8y6utlK4LBnfWVDdNcYUGjD?usp=drive_link	https://maps.app.goo.gl/Zw9pwfSrhWDtYMyp6?g_st=iz	Đoàn Kết, Kiến Minh	85,2 và 69,9	85,2m2 giá 1960; 69,9 giá 1180	30.000	Nằm trên đường ra ga hỗ hợp, cách 500m full tiện ích	Đầu tư đón sóng nhà ga
