MÃ	SALE	TÌNH TRẠNG	LINK ẢNH	LINK MAP	ĐỊA CHỈ	DIỆN TÍCH	GIÁ BÁN	PHÍ	GHI CHÚ	Sản phẩm phù hợp
MH918	Sinh		https://drive.google.com/drive/folders/13izPneyyjBDskwjhA9L5CN6Bg119IN9S?usp=drive_link	https://www.google.com/maps?q=V%C4%83n+H%C3%B2a,+H%E1%BB%AFu+B%E1%BA%B1ng,+Ki%E1%BA%BFn+Th%E1%BB%A5y,+H%E1%BA%A3i+Ph%C3%B2ng&ftid=0x314a7142a6cd151b:0xbaf90974647a9352&entry=gps&lucs=,94284460,94224825,94227247,94227248,94231188,94280564,47071704,47069508,94218641,94282134,94203019,47084304&g_ep=CAISEjI1LjM5LjMuODEwMTI3MDQ4MBgAINeCAypsLDk0Mjg0NDYwLDk0MjI0ODI1LDk0MjI3MjQ3LDk0MjI3MjQ4LDk0MjMxMTg4LDk0MjgwNTY0LDQ3MDcxNzA0LDQ3MDY5NTA4LDk0MjE4NjQxLDk0MjgyMTM0LDk0MjAzMDE5LDQ3MDg0MzA0QgJWTg%3D%3D&skid=0f65350f-a1aa-4d94-80c4-383ab6ff42d9&g_st=iz	Văn Hoà, Kiến Thuỵ	67,7	820.000	20.000	Khu dân cư đông đúc, các chợ, trường học các cấp chỉ 1p đi xe máy	Đầu tư tài chính thấp, hoặc để ở
MH919	Định		https://drive.google.com/drive/folders/1dLoKbIeUaP9QXHGNc39cvsKx_0QlISLz?usp=drive_link	https://maps.app.goo.gl/eXFpnZLVgrAvbdBb9?g_st=com.google.maps.preview.copy	Cẩm La, Thanh Sơn	97	2.400.000	30.000	Khu dân cư đông, gần trung tâm	Đầu tư hoặc ở
MH920	Tài		https://drive.google.com/drive/folders/1SuGBPWJTjc-kLKEXm0SBaFv8NWdx7oU-?usp=drive_link	https://maps.app.goo.gl/rFWvd21eYbTc5KZg6?g_st=iz	Đoàn Xá 	110	2.500.000	40.000	Dân cư tấp nập, gần chợ	
MH921	Lan		https://drive.google.com/drive/folders/1RPm2pRDh2ZPD4NS7t814mmIzGYXSH8aW?usp=drive_link	https://www.google.com/maps?q=20.7527630,106.6832254&entry=gps&lucs=,94284481,94224825,94227247,94227248,94231188,47071704,47069508,94218641,94282134,94203019,47084304&g_ep=CAISEjI1LjM1LjAuNzk5MDg4MzU1MBgAINeCAypjLDk0Mjg0NDgxLDk0MjI0ODI1LDk0MjI3MjQ3LDk0MjI3MjQ4LDk0MjMxMTg4LDQ3MDcxNzA0LDQ3MDY5NTA4LDk0MjE4NjQxLDk0MjgyMTM0LDk0MjAzMDE5LDQ3MDg0MzA0QgJWTg%3D%3D&skid=d7f332cc-2014-4571-a206-6484457d0e15&g_st=iz	Minh Tân	77,7	830.000	20.000	Cách mặt chợ 3 bước châ, trung tâm huyện 1km, cách ga vài trăm m	
MH922	Sinh		https://drive.google.com/drive/folders/1vU-3YyAXbncAE0lWPb9sFOuMM4FLJ_C4?usp=drive_link	https://maps.app.goo.gl/1KjMcWfW9pPY35bL6?g_st=iz	Xuân La, Thanh Sơn	231,8	15tr/m2	50.000	Khu dân cư đông đúc, cách 300m full tiện ích	Đầu tư hoặc xây nhà trọ, để ở
MH923	Định		https://drive.google.com/drive/folders/1JbzSIrtuhnuDaeN8nJxU1N_YjvAMQOHS?usp=drive_link	https://maps.app.goo.gl/eXFpnZLVgrAvbdBb9?g_st=com.google.maps.preview.copy	Cẩm Hoàn, Kiến Thuỵ	98	2.300.000	30.000	Khu dân cư đông, gần tring tâm, hướng đông nam mát mẻ	Đầu tư hoặc để ở
MH924	Quân		https://drive.google.com/drive/folders/1DWLSPJQ-jE9mmujS3IC-4GFil75nPwXH?usp=drive_link	https://maps.app.goo.gl/JB68XP9qEySqSzww6?g_st=ipc	Đoàn Xá, Kiến Hải	94,4	2.100.000	30.000	Đối diện cảng Nam Đồ Sơn	
MH925	Phượng		https://drive.google.com/drive/folders/1QrjcNhUib69zqFoeIU8-iwy515Nz956o?usp=drive_link	https://maps.app.goo.gl/7D5ogk7JP4GyDftc8?g_st=ipc	Xuân La, Thanh Sơn	174	4.000.000	50.000	Khi dân cư đông, gần trung tâm	Đầu tư hoặc ở
MH926	Tài		https://drive.google.com/drive/folders/1sO2unMdhCEQhlzOE94JHxDxbiR91Ph3R?usp=drive_link	https://maps.app.goo.gl/DmmDWuqcj47Uv3xg9?g_st=iz	Đức Phong, Đại Đồng	107,9	3.800.000	100.000	Dân cư đông, gần Vin, ga	
MH927	Định		https://drive.google.com/drive/folders/1dnoqs7gHi6gqLlLNCQsRTdwY5kZuK6b8?usp=drive_link	https://maps.app.goo.gl/B7sJYvk76k58sxo96?g_st=com.google.maps.preview.copy	Cẩm La, Thanh Sơn	125	2.500.000	30.000	Khu cần cư đông, gần trung tâm, hướng nam mát mẻ	Đầu tư hoặc ở
MH928	Phượng		https://drive.google.com/drive/folders/1ShHdtup9ryubx25TUcxHi24XOtkh9IVw?usp=drive_link	https://www.google.com/maps?q=20.7407430,106.7057043&entry=gps&lucs=,94284463,94224825,94227247,94227248,94231188,94280564,47071704,47069508,94218641,94282134,94203019,47084304&g_ep=CAISEjI1LjM5LjMuODEwMTI3MDQ4MBgAINeCAypsLDk0Mjg0NDYzLDk0MjI0ODI1LDk0MjI3MjQ3LDk0MjI3MjQ4LDk0MjMxMTg4LDk0MjgwNTY0LDQ3MDcxNzA0LDQ3MDY5NTA4LDk0MjE4NjQxLDk0MjgyMTM0LDk0MjAzMDE5LDQ3MDg0MzA0QgJWTg%3D%3D&skid=3616a958-7122-48d0-99c3-8dc66bf1e22c&g_st=iz	Thái Lai, Tân Phong	71,4	1.150.000	thu về	Khu dân cư đông, gần logictic	Đầu tư hoặc ở
MH929	Cảnh		https://drive.google.com/drive/folders/15D5TZuDBEYrYRkbI07LVBYEJXQX8MkQz?usp=drive_link	https://maps.app.goo.gl/LbcdRifV3DjfZHWs8?g_st=iz	Thôn 5, Du Lễ	61	2.100.000	50.000	Nhà 3 tầng, đầy đủ	Có nhu cầu mua nhà có sẵn để ở
